"","treatment_name","mean_r","se_r","mean_K","se_K","count","mean_light","temp_var","temp","planned","temp_desc","temp_type","fluct_size","temp_rounded"
"17","23.5",0.836627254574739,0.173562846098832,424.66622665918,49.0267353291227,3,2860.37766339869,"max_temp",24.7658823529412,"actual_daily","max_temp","constant","constant",25
"18","23.5",0.836627254574739,0.173562846098832,424.66622665918,49.0267353291227,3,2860.37766339869,"min_temp",22.4029411764706,"actual_daily","min_temp","constant","constant",22
"19","23.5",0.836627254574739,0.173562846098832,424.66622665918,49.0267353291227,3,2860.37766339869,"sd_temp",0.0422630790024618,"actual_daily","sd_temp","constant","constant",0
"20","23.5",0.836627254574739,0.173562846098832,424.66622665918,49.0267353291227,3,2860.37766339869,"temp_range",2.36294117647059,"actual_daily","temp_range","constant","constant",2
"21","27",1.11992185250499,0.428580785456339,368.153617516338,56.5083994823277,4,1305.37464052288,"mean_temp",26.5447058823529,"actual_daily","mean_temp","constant","constant",27
"22","27",1.11992185250499,0.428580785456339,368.153617516338,56.5083994823277,4,1305.37464052288,"max_temp",27.1129411764706,"actual_daily","max_temp","constant","constant",27
"23","27",1.11992185250499,0.428580785456339,368.153617516338,56.5083994823277,4,1305.37464052288,"min_temp",26.1435294117647,"actual_daily","min_temp","constant","constant",26
"24","27",1.11992185250499,0.428580785456339,368.153617516338,56.5083994823277,4,1305.37464052288,"sd_temp",0.0339583291564747,"actual_daily","sd_temp","constant","constant",0
"25","27",1.11992185250499,0.428580785456339,368.153617516338,56.5083994823277,4,1305.37464052288,"temp_range",0.969411764705882,"actual_daily","temp_range","constant","constant",1
"26","30.5",1.03522985249508,0.115452025837869,216.886635662604,29.880071875627,4,1033.82692810458,"mean_temp",32.3430637254902,"actual_daily","mean_temp","constant","constant",32
"27","30.5",1.03522985249508,0.115452025837869,216.886635662604,29.880071875627,4,1033.82692810458,"max_temp",33.4452941176471,"actual_daily","max_temp","constant","constant",33
"28","30.5",1.03522985249508,0.115452025837869,216.886635662604,29.880071875627,4,1033.82692810458,"min_temp",31.5711764705882,"actual_daily","min_temp","constant","constant",32
"29","30.5",1.03522985249508,0.115452025837869,216.886635662604,29.880071875627,4,1033.82692810458,"sd_temp",0.0459949137988245,"actual_daily","sd_temp","constant","constant",0
"30","30.5",1.03522985249508,0.115452025837869,216.886635662604,29.880071875627,4,1033.82692810458,"temp_range",1.87411764705882,"actual_daily","temp_range","constant","constant",2
"31","34",0.585078459528206,0.14396293421834,172.968412346831,22.4382646058969,3,1788.42980392157,"mean_temp",33.6276797385621,"actual_daily","mean_temp","constant","constant",34
"32","34",0.585078459528206,0.14396293421834,172.968412346831,22.4382646058969,3,1788.42980392157,"max_temp",34.0029411764706,"actual_daily","max_temp","constant","constant",34
