num,date_time,temp_C,light_lux
1,07/24/2024 14:09:35,19.82,119.76
2,07/24/2024 14:29:35,21.62,215.84
3,07/24/2024 14:49:35,20.42,152.92
4,07/24/2024 15:09:35,20.12,156.84
5,07/24/2024 15:29:35,19.99,166.96
6,07/24/2024 15:49:35,21.10,18.77
7,07/24/2024 16:09:35,16.13,1869.44
8,07/24/2024 16:29:35,15.66,1870.72
9,07/24/2024 16:49:35,15.61,1873.92
10,07/24/2024 17:09:35,15.61,1869.44
11,07/24/2024 17:29:35,15.66,1873.92
12,07/24/2024 17:49:35,15.61,1878.40
13,07/24/2024 18:09:35,15.66,1880.32
14,07/24/2024 18:29:35,15.66,1878.40
15,07/24/2024 18:49:35,15.61,1881.60
16,07/24/2024 19:09:35,15.66,1873.92
17,07/24/2024 19:29:35,15.66,1880.32
18,07/24/2024 19:49:35,15.66,1877.12
19,07/24/2024 20:09:35,19.00,2186.24
20,07/24/2024 20:29:35,30.41,2357.12
21,07/24/2024 20:49:35,30.54,2357.12
22,07/24/2024 21:09:35,30.03,2361.60
23,07/24/2024 21:29:35,30.03,2385.28
24,07/24/2024 21:49:35,30.11,2396.16
25,07/24/2024 22:09:35,29.60,0.00
26,07/24/2024 22:29:35,29.98,0.00
27,07/24/2024 22:49:35,29.90,0.00
28,07/24/2024 23:09:35,30.07,0.00
29,07/24/2024 23:29:35,29.86,0.00
30,07/24/2024 23:49:35,29.98,0.00
31,07/25/2024 00:09:35,29.86,0.00
32,07/25/2024 00:29:35,29.86,0.00
33,07/25/2024 00:49:35,30.03,0.00
34,07/25/2024 01:09:35,29.94,0.00
35,07/25/2024 01:29:35,30.03,0.00
36,07/25/2024 01:49:35,29.98,0.00
37,07/25/2024 02:09:35,29.90,0.00
38,07/25/2024 02:29:35,29.94,0.00
39,07/25/2024 02:49:35,29.98,0.00
40,07/25/2024 03:09:35,29.86,0.00
41,07/25/2024 03:29:35,29.94,0.00
42,07/25/2024 03:49:35,30.07,0.00
43,07/25/2024 04:09:35,29.98,0.00
44,07/25/2024 04:29:35,29.90,0.00
45,07/25/2024 04:49:35,29.94,0.00
46,07/25/2024 05:09:35,29.98,0.00
47,07/25/2024 05:29:35,30.03,0.00
48,07/25/2024 05:49:35,29.86,0.00
49,07/25/2024 06:09:35,30.28,2454.40
50,07/25/2024 06:29:35,30.24,2438.40
51,07/25/2024 06:49:35,30.07,2446.72
52,07/25/2024 07:09:35,30.20,2444.80
53,07/25/2024 07:29:35,30.03,2441.60
54,07/25/2024 07:49:35,30.16,2438.40
55,07/25/2024 08:09:35,26.77,2327.04
56,07/25/2024 08:29:35,15.70,1856.64
57,07/25/2024 08:49:35,15.40,1894.40
58,07/25/2024 09:09:35,15.57,1891.20
59,07/25/2024 09:29:35,15.66,1877.12
60,07/25/2024 09:49:35,15.66,1875.20
61,07/25/2024 10:09:35,15.66,1872.64
62,07/25/2024 10:29:35,15.66,1870.72
63,07/25/2024 10:49:35,15.61,1877.12
64,07/25/2024 11:09:35,15.57,1873.92
65,07/25/2024 11:29:35,15.61,1875.20
66,07/25/2024 11:49:35,15.61,1875.20
67,07/25/2024 12:09:35,15.70,1875.20
68,07/25/2024 12:29:35,15.57,1870.72
69,07/25/2024 12:49:35,15.61,1870.72
70,07/25/2024 13:09:35,15.61,1869.44
71,07/25/2024 13:29:35,15.61,1872.64
72,07/25/2024 13:49:35,15.48,1798.40
73,07/25/2024 14:09:35,15.53,1808.00
74,07/25/2024 14:29:35,15.61,1820.80
75,07/25/2024 14:49:35,15.61,1809.92
76,07/25/2024 15:09:35,15.57,1818.88
77,07/25/2024 15:29:35,15.61,1809.92
78,07/25/2024 15:49:35,15.61,1811.20
